gf-id	num-gen	num-spe	ath	bra	cpa	ptr	mtr	gma	cme	pbr	vvi	sly
ORTHOSTM000118	66	14	7	8	4	5	4	8	4	5	2	5
ORTHOSTM000119	66	14	6	6	1	3	5	7	3	5	3	8
ORTHOSTM000120	66	14	2	4	3	2	3	4	6	22	1	1
ORTHOSTM000123	65	14	5	4	1	2	8	12	4	4	2	3
ORTHOSTM000126	64	14	6	9	3	7	9	8	2	5	3	4
ORTHOSTM000130	63	14	3	4	4	7	5	7	4	6	5	3
ORTHOSTM000131	63	14	4	7	3	6	5	10	3	7	3	5
ORTHOSTM000132	63	14	1	1	2	15	2	3	4	8	10	8
ORTHOSTM000134	62	14	8	8	3	7	4	8	2	1	4	4
ORTHOSTM000135	62	14	3	4	1	9	4	9	2	8	2	4
ORTHOSTM000136	62	14	4	6	3	7	5	11	3	7	1	4
ORTHOSTM000144	60	14	6	10	1	2	6	9	1	6	3	5
ORTHOSTM000146	60	14	5	8	3	4	4	8	3	6	3	3
ORTHOSTM000147	60	14	4	5	3	6	5	12	4	4	3	3
ORTHOSTM000150	59	14	5	8	2	6	4	5	2	2	4	4
ORTHOSTM000151	59	14	2	5	2	4	14	7	4	2	3	2
ORTHOSTM000154	59	14	2	1	2	2	2	2	2	28	2	2
ORTHOSTM000157	58	14	3	6	1	7	3	7	2	5	3	4
ORTHOSTM000158	58	14	4	5	2	5	4	8	4	3	3	5
ORTHOSTM000159	58	14	4	4	3	8	3	14	2	2	5	4
ORTHOSTM000164	57	14	5	9	1	8	4	10	1	7	3	2
ORTHOSTM000165	57	14	3	5	2	5	6	12	4	5	1	5
ORTHOSTM000166	57	14	1	1	3	20	3	3	2	5	11	3
ORTHOSTM000171	56	14	5	3	1	13	6	6	3	1	1	3
ORTHOSTM000173	56	14	4	6	4	5	8	11	2	5	1	4
ORTHOSTM000174	56	14	2	1	2	4	2	2	2	23	1	3
ORTHOSTM000179	55	14	5	16	2	2	2	7	1	5	1	2
ORTHOSTM000180	55	14	3	5	4	3	5	6	3	7	4	4
ORTHOSTM000181	54	14	7	9	3	6	4	5	1	4	3	2
ORTHOSTM000182	54	14	2	6	2	5	3	10	3	7	4	4
ORTHOSTM000183	54	14	3	6	1	4	6	12	4	1	2	3
ORTHOSTM000188	53	14	4	9	1	4	8	4	3	4	2	5
ORTHOSTM000191	52	14	4	5	2	3	5	6	2	8	2	4
ORTHOSTM000192	52	14	3	4	2	4	7	5	3	4	5	4
ORTHOSTM000196	51	14	2	2	1	6	4	10	2	5	3	3
ORTHOSTM000197	51	14	3	7	2	1	9	7	2	6	3	3
ORTHOSTM000199	50	14	4	8	1	11	4	4	2	2	3	2
ORTHOSTM000205	49	14	3	5	2	3	7	8	2	4	4	5
ORTHOSTM000206	49	14	2	3	2	1	11	9	3	9	1	3
ORTHOSTM000207	49	14	3	5	3	1	4	8	4	5	1	6
ORTHOSTM000209	49	14	2	3	3	6	9	7	3	1	3	3
ORTHOSTM000210	49	14	4	6	1	4	4	8	3	5	2	3
ORTHOSTM000221	47	14	4	6	2	3	4	8	1	6	2	2
ORTHOSTM000222	47	14	3	5	2	5	3	6	1	8	1	3
ORTHOSTM000223	47	14	3	4	1	2	4	9	3	4	1	2
ORTHOSTM000225	47	14	2	1	1	6	5	9	2	3	4	4
ORTHOSTM000226	47	14	1	3	2	4	5	6	3	3	3	3
ORTHOSTM000234	46	14	1	2	3	10	3	4	2	6	6	1
ORTHOSTM000238	45	14	4	5	1	4	2	6	2	2	2	4
ORTHOSTM000240	45	14	4	2	2	3	4	6	4	2	2	3
ORTHOSTM000242	44	14	5	6	3	4	4	6	1	4	4	3
ORTHOSTM000243	44	14	2	2	5	12	1	2	6	2	4	1
ORTHOSTM000244	44	14	2	7	1	3	3	4	5	4	1	2
ORTHOSTM000245	44	14	4	5	1	3	3	5	2	7	7	2
ORTHOSTM000246	44	14	2	6	3	3	3	4	3	8	1	5
ORTHOSTM000249	44	14	1	2	3	3	3	5	2	1	12	2
ORTHOSTM000253	43	14	2	9	2	3	3	2	3	3	5	2
ORTHOSTM000262	42	14	3	4	2	4	3	6	1	3	3	3
ORTHOSTM000263	42	14	5	3	2	4	3	4	2	3	6	3
ORTHOSTM000264	42	14	2	5	1	3	4	11	2	4	1	3
ORTHOSTM000265	42	14	3	5	2	5	2	4	2	4	1	3
ORTHOSTM000266	42	14	2	3	2	4	3	7	4	5	1	3
ORTHOSTM000267	42	14	1	3	1	4	1	6	2	9	2	3
ORTHOSTM000274	41	14	5	5	1	4	2	6	2	3	2	2
ORTHOSTM000276	41	14	3	7	2	2	2	6	3	2	2	3
ORTHOSTM000277	41	14	4	6	2	3	3	6	2	3	2	2
ORTHOSTM000283	40	14	3	2	2	5	1	6	2	5	2	6
ORTHOSTM000284	40	14	2	7	2	5	4	10	1	1	1	1
ORTHOSTM000286	40	14	3	8	3	3	1	4	3	1	1	3
ORTHOSTM000288	40	14	1	2	2	1	5	2	3	9	3	1
ORTHOSTM000297	39	14	3	5	1	3	3	5	3	4	2	3
ORTHOSTM000299	39	14	2	5	1	4	2	4	2	4	2	2
ORTHOSTM000306	38	14	2	4	1	4	1	3	2	8	4	1
ORTHOSTM000310	38	14	4	8	1	2	2	5	1	2	1	1
ORTHOSTM000313	38	14	1	4	1	4	2	6	1	4	2	4
ORTHOSTM000314	38	14	2	4	1	2	3	4	2	2	1	4
ORTHOSTM000315	38	14	2	4	2	4	2	4	2	3	3	3
ORTHOSTM000316	38	14	2	5	2	5	3	6	1	1	3	3
ORTHOSTM000319	38	14	2	4	1	3	7	1	2	4	1	1
ORTHOSTM000321	38	14	1	2	2	2	2	3	1	4	4	1
ORTHOSTM000322	38	14	1	3	2	4	2	4	3	5	1	2
ORTHOSTM000329	37	14	3	3	1	2	3	4	2	3	1	4
ORTHOSTM000330	37	14	2	6	2	3	3	4	2	2	1	3
ORTHOSTM000332	37	14	3	2	2	2	2	4	3	2	2	4
ORTHOSTM000333	37	14	2	5	1	2	3	7	2	4	2	2
ORTHOSTM000334	37	14	4	4	3	2	7	3	1	3	1	3
ORTHOSTM000336	37	14	1	3	2	4	3	4	2	5	2	2
ORTHOSTM000344	36	14	2	4	1	5	2	4	3	2	1	3
ORTHOSTM000345	36	14	2	3	1	5	2	6	2	4	1	2
ORTHOSTM000348	36	14	2	5	1	5	4	4	2	3	2	1
ORTHOSTM000349	36	14	3	2	2	2	3	7	3	1	5	2
ORTHOSTM000352	36	14	2	3	1	4	2	4	1	3	2	3
ORTHOSTM000353	36	14	2	2	1	2	9	5	1	2	1	2
ORTHOSTM000358	36	14	2	5	2	2	4	5	2	2	2	4
ORTHOSTM000359	36	14	1	1	1	1	4	1	1	12	2	2
ORTHOSTM000361	36	14	2	5	2	3	2	4	3	1	2	2
ORTHOSTM000364	36	14	1	3	1	4	3	2	1	11	1	2
ORTHOSTM000365	36	14	1	4	1	4	2	4	3	3	2	4
ORTHOSTM000367	36	14	1	1	2	4	2	6	2	4	2	2
ORTHOSTM000375	35	14	2	5	2	4	2	2	1	2	1	3
ORTHOSTM000377	35	14	3	4	3	3	2	4	2	2	2	3
ORTHOSTM000379	35	14	3	4	1	5	2	4	1	2	1	3
ORTHOSTM000381	35	14	3	4	1	1	2	5	2	2	3	2
ORTHOSTM000382	35	14	2	3	1	3	2	4	2	6	2	2
ORTHOSTM000383	35	14	3	4	1	2	2	7	2	2	2	3
ORTHOSTM000384	35	14	3	2	1	4	3	6	2	4	2	3
ORTHOSTM000386	35	14	2	5	1	4	2	4	2	5	2	2
ORTHOSTM000388	35	14	3	4	1	3	3	4	2	4	1	3
ORTHOSTM000389	35	14	3	5	1	4	1	3	1	5	1	3
ORTHOSTM000399	34	14	2	3	2	3	3	5	2	1	2	2
ORTHOSTM000401	34	14	3	5	1	2	3	5	1	1	2	3
ORTHOSTM000403	34	14	1	3	1	3	5	4	2	1	1	2
ORTHOSTM000405	34	14	3	4	1	2	2	6	2	3	1	2
ORTHOSTM000409	34	14	1	1	1	5	4	6	1	3	2	3
ORTHOSTM000410	34	14	2	3	1	3	3	5	2	3	2	3
ORTHOSTM000412	34	14	2	5	1	3	2	6	2	2	3	3
ORTHOSTM000413	34	14	1	2	1	3	7	3	3	5	1	2
ORTHOSTM000414	34	14	1	4	2	4	1	4	2	2	1	3
ORTHOSTM000415	34	14	2	5	2	3	1	5	4	2	2	3
ORTHOSTM000416	34	14	1	3	2	2	2	3	3	2	3	3
ORTHOSTM000417	34	14	3	3	1	4	2	4	1	3	2	3
ORTHOSTM000425	33	14	2	3	2	2	3	6	2	2	1	3
ORTHOSTM000426	33	14	3	2	2	4	4	6	2	1	1	1
ORTHOSTM000427	33	14	3	3	1	4	2	4	2	3	1	2
ORTHOSTM000429	33	14	3	1	1	3	2	7	2	3	2	2
ORTHOSTM000435	33	14	2	1	2	2	4	6	2	1	1	3
ORTHOSTM000436	33	14	2	2	2	5	2	4	1	4	2	2
ORTHOSTM000438	33	14	2	2	1	4	2	3	2	3	2	1
ORTHOSTM000439	33	14	2	1	2	3	1	5	1	5	1	3
ORTHOSTM000440	33	14	2	6	2	3	2	4	2	3	2	1
ORTHOSTM000441	33	14	1	2	1	4	2	4	3	4	3	2
ORTHOSTM000443	33	14	3	2	1	1	3	7	2	4	2	3
ORTHOSTM000452	32	14	1	5	1	2	2	3	2	7	1	3
ORTHOSTM000453	32	14	3	2	2	3	5	5	2	2	1	2
ORTHOSTM000454	32	14	2	2	1	2	3	6	2	2	2	3
ORTHOSTM000459	32	14	4	4	2	2	1	2	2	4	2	2
ORTHOSTM000460	32	14	2	4	2	2	2	3	1	5	1	2
ORTHOSTM000463	32	14	2	4	1	2	5	4	1	2	2	1
ORTHOSTM000465	32	14	2	4	2	4	3	3	1	1	1	2
ORTHOSTM000470	32	14	2	2	1	2	3	6	2	3	1	3
ORTHOSTM000471	32	14	3	5	2	6	1	2	1	1	1	4
ORTHOSTM000476	32	14	2	2	2	3	2	4	2	2	1	3
ORTHOSTM000478	32	14	1	2	2	2	2	4	1	2	2	4
ORTHOSTM000479	32	14	1	3	3	2	3	4	2	3	3	2
ORTHOSTM000480	32	14	2	4	2	3	1	6	2	2	3	2
ORTHOSTM000482	32	14	2	3	1	4	3	4	2	3	2	1
ORTHOSTM000483	32	14	1	3	3	3	2	4	1	3	2	2
ORTHOSTM000484	32	14	2	4	1	3	3	3	1	8	1	2
ORTHOSTM000485	32	14	1	3	2	4	3	4	1	3	2	3
ORTHOSTM000486	32	14	1	2	2	3	3	5	2	4	2	3
ORTHOSTM000488	32	14	2	2	2	4	4	2	2	5	2	2
ORTHOSTM000499	31	14	3	7	1	4	2	1	1	2	2	3
ORTHOSTM000500	31	14	3	6	1	2	2	4	1	2	1	4
ORTHOSTM000503	31	14	3	4	1	1	2	3	2	5	1	2
ORTHOSTM000505	31	14	2	4	1	2	4	5	1	4	1	2
ORTHOSTM000506	31	14	2	2	1	2	3	4	1	2	1	3
ORTHOSTM000507	31	14	3	2	2	1	3	6	1	4	1	2
ORTHOSTM000509	31	14	2	5	1	3	2	4	1	1	1	5
ORTHOSTM000512	31	14	1	3	2	3	2	4	1	2	1	3
ORTHOSTM000517	31	14	1	3	2	4	2	4	2	4	2	1
ORTHOSTM000519	31	14	1	4	1	3	3	4	1	4	1	2
ORTHOSTM000524	31	14	1	1	2	5	2	2	3	2	3	2
ORTHOSTM000525	31	14	2	1	2	3	2	5	1	2	1	1
ORTHOSTM000530	31	14	1	1	1	1	1	1	1	13	1	1
ORTHOSTM000542	30	14	2	4	1	2	3	3	1	4	1	1
ORTHOSTM000543	30	14	3	4	3	2	1	3	2	3	1	3
ORTHOSTM000544	30	14	5	7	1	2	4	1	1	1	2	1
ORTHOSTM000545	30	14	3	4	2	1	3	1	1	2	3	2
ORTHOSTM000547	30	14	1	2	1	2	1	6	1	5	1	2
ORTHOSTM000551	30	14	1	3	2	2	2	4	2	3	1	3
ORTHOSTM000553	30	14	3	3	1	1	2	4	3	4	1	2
ORTHOSTM000554	30	14	2	3	1	2	1	3	2	6	1	2
ORTHOSTM000555	30	14	2	2	1	1	2	4	1	3	2	2
ORTHOSTM000558	30	14	2	2	1	3	2	6	2	4	1	2
ORTHOSTM000560	30	14	1	3	2	3	2	5	2	2	2	2
ORTHOSTM000563	30	14	2	3	1	2	1	2	1	3	1	1
ORTHOSTM000565	30	14	2	2	1	4	2	7	2	1	1	2
ORTHOSTM000577	29	14	3	1	1	3	3	3	2	1	2	3
ORTHOSTM000578	29	14	3	5	1	2	1	4	1	2	1	2
ORTHOSTM000585	29	14	3	4	1	3	2	2	1	2	2	1
ORTHOSTM000586	29	14	2	2	2	2	3	3	2	4	2	3
ORTHOSTM000588	29	14	2	5	1	2	2	4	1	1	1	2
ORTHOSTM000589	29	14	3	4	1	1	3	3	1	4	2	2
ORTHOSTM000592	29	14	2	1	1	3	5	1	2	5	1	1
ORTHOSTM000595	29	14	2	2	2	2	4	2	3	2	1	3
ORTHOSTM000596	29	14	2	4	1	3	2	4	1	2	1	3
ORTHOSTM000597	29	14	2	3	2	3	1	4	2	1	1	2
ORTHOSTM000598	29	14	2	3	2	2	4	2	1	3	2	4
ORTHOSTM000603	29	14	1	1	1	3	2	2	1	3	3	2
ORTHOSTM000606	29	14	1	2	2	1	1	3	1	4	2	2
ORTHOSTM000608	29	14	1	3	1	5	2	3	2	3	2	1
ORTHOSTM000611	29	14	1	3	1	1	3	5	1	3	1	3
ORTHOSTM000612	29	14	1	3	3	2	3	3	2	3	1	1
ORTHOSTM000616	29	14	1	1	2	2	10	2	1	3	1	1
ORTHOSTM000618	29	14	2	2	1	2	2	3	1	3	2	3
ORTHOSTM000629	28	14	3	3	1	2	1	2	1	1	2	2
ORTHOSTM000633	28	14	3	1	1	2	2	1	2	5	1	2
ORTHOSTM000634	28	14	1	3	1	3	3	2	3	3	2	2
ORTHOSTM000636	28	14	3	5	1	3	2	1	2	3	1	3
ORTHOSTM000638	28	14	4	3	1	1	1	4	1	4	1	1
ORTHOSTM000640	28	14	2	2	1	1	6	8	1	1	1	1
ORTHOSTM000641	28	14	2	3	1	2	2	4	1	1	1	3
ORTHOSTM000642	28	14	2	4	2	3	2	4	1	1	2	3
ORTHOSTM000654	28	14	1	3	1	1	1	2	1	1	1	3
ORTHOSTM000655	28	14	1	3	1	2	2	4	2	5	3	1
ORTHOSTM000656	28	14	1	2	1	1	2	6	1	2	2	2
ORTHOSTM000657	28	14	2	3	1	2	2	3	2	2	1	1
ORTHOSTM000660	28	14	1	5	1	2	2	2	1	2	2	3
ORTHOSTM000661	28	14	2	5	1	2	4	4	1	2	1	2
ORTHOSTM000662	28	14	2	3	1	3	2	4	2	4	1	1
ORTHOSTM000664	28	14	1	2	1	3	4	1	1	4	2	1
ORTHOSTM000669	28	14	1	1	2	3	2	4	2	3	1	3
ORTHOSTM000678	28	14	1	4	1	2	2	1	2	5	1	1
ORTHOSTM000689	27	14	3	6	1	1	2	2	1	2	1	2
ORTHOSTM000690	27	14	3	2	1	2	3	2	2	3	2	1
ORTHOSTM000693	27	14	2	5	1	2	2	4	1	1	1	1
ORTHOSTM000695	27	14	2	3	1	3	2	3	1	4	2	1
ORTHOSTM000696	27	14	2	4	1	2	2	4	1	2	1	2
ORTHOSTM000697	27	14	2	2	1	3	2	3	1	2	1	1
ORTHOSTM000698	27	14	2	4	2	1	2	2	2	2	2	1
ORTHOSTM000699	27	14	2	2	2	3	2	2	1	1	2	3
ORTHOSTM000700	27	14	2	2	1	2	2	3	1	4	1	1
ORTHOSTM000703	27	14	2	3	1	2	1	2	1	3	2	3
ORTHOSTM000704	27	14	3	3	1	2	3	4	1	1	2	1
ORTHOSTM000705	27	14	2	3	2	1	2	3	1	2	1	2
ORTHOSTM000708	27	14	2	2	1	1	1	4	2	3	1	2
ORTHOSTM000709	27	14	2	3	1	2	2	2	1	5	1	1
ORTHOSTM000710	27	14	2	4	1	2	1	4	2	4	1	1
ORTHOSTM000711	27	14	2	2	2	4	1	4	1	5	1	1
ORTHOSTM000713	27	14	2	4	1	3	2	4	1	3	1	2
ORTHOSTM000718	27	14	1	2	1	4	4	2	1	3	2	2
ORTHOSTM000719	27	14	1	1	1	2	3	4	1	2	1	3
ORTHOSTM000722	27	14	1	2	1	1	2	3	1	6	1	1
ORTHOSTM000723	27	14	1	3	2	4	2	1	2	2	2	4
ORTHOSTM000725	27	14	2	5	1	3	2	4	1	1	1	1
ORTHOSTM000726	27	14	2	3	1	2	2	3	1	3	2	4
ORTHOSTM000727	27	14	1	3	1	2	2	2	2	1	2	3
ORTHOSTM000728	27	14	1	3	1	3	1	4	1	5	2	1
ORTHOSTM000729	27	14	1	2	1	2	5	6	2	2	1	1
ORTHOSTM000730	27	14	1	4	1	2	2	4	1	3	1	2
ORTHOSTM000731	27	14	1	3	1	5	2	2	3	1	2	2
ORTHOSTM000732	27	14	1	2	1	2	2	4	1	3	1	2
ORTHOSTM000733	27	14	2	4	1	2	3	3	2	2	1	3
ORTHOSTM000734	27	14	2	2	1	3	1	2	7	1	1	1
ORTHOSTM000735	27	14	1	2	1	5	2	4	1	3	1	2
ORTHOSTM000736	27	14	1	2	1	4	1	4	3	3	1	3
ORTHOSTM000738	27	14	2	3	1	2	1	3	1	3	2	2
ORTHOSTM000743	27	14	1	2	1	4	2	3	2	3	2	2
ORTHOSTM000745	27	14	1	1	1	3	2	4	1	2	1	1
ORTHOSTM000746	27	14	1	1	1	1	2	2	1	12	1	1
ORTHOSTM000754	27	14	1	1	1	1	2	1	1	6	1	2
ORTHOSTM000759	26	14	2	5	1	1	2	1	1	1	1	1
ORTHOSTM000761	26	14	3	4	1	1	2	2	1	1	2	2
ORTHOSTM000763	26	14	3	3	1	2	1	4	1	1	1	3
ORTHOSTM000766	26	14	2	3	2	2	2	3	2	2	2	1
ORTHOSTM000767	26	14	1	3	1	2	1	2	2	1	2	3
ORTHOSTM000768	26	14	3	1	1	1	2	3	2	2	2	2
ORTHOSTM000769	26	14	2	2	1	1	1	5	1	2	1	2
ORTHOSTM000772	26	14	2	2	2	4	1	2	1	1	1	2
ORTHOSTM000773	26	14	2	3	1	2	2	4	1	2	1	1
ORTHOSTM000777	26	14	2	3	1	1	3	3	2	1	1	2
ORTHOSTM000783	26	14	2	2	1	3	2	4	2	2	2	2
ORTHOSTM000784	26	14	2	2	1	2	2	3	1	2	1	2
ORTHOSTM000787	26	14	2	2	1	2	1	2	1	2	1	3
ORTHOSTM000788	26	14	2	1	1	3	1	5	2	2	1	3
ORTHOSTM000791	26	14	1	1	1	3	1	2	2	4	2	2
ORTHOSTM000792	26	14	1	1	1	1	3	6	2	2	1	2
ORTHOSTM000794	26	14	1	2	2	2	1	2	1	3	1	2
ORTHOSTM000795	26	14	2	2	1	2	3	4	2	2	2	1
ORTHOSTM000796	26	14	2	3	1	2	1	4	1	3	1	1
ORTHOSTM000797	26	14	1	2	1	2	1	4	2	3	1	1
ORTHOSTM000798	26	14	1	3	2	1	2	2	1	2	1	4
ORTHOSTM000801	26	14	1	3	1	4	2	3	1	1	2	3
ORTHOSTM000804	26	14	1	2	1	2	2	6	1	1	2	2
ORTHOSTM000805	26	14	1	4	1	2	3	3	1	5	1	1
ORTHOSTM000807	26	14	1	3	1	2	2	4	1	2	2	2
ORTHOSTM000810	26	14	1	3	1	5	3	2	2	1	1	2
ORTHOSTM000811	26	14	1	4	1	2	2	4	1	2	1	2
ORTHOSTM000815	26	14	1	3	2	1	3	1	3	3	1	2
ORTHOSTM000816	26	14	2	4	1	2	1	3	1	1	1	2
ORTHOSTM000817	26	14	2	3	1	2	2	3	2	1	2	2
ORTHOSTM000819	26	14	1	2	1	3	2	4	1	3	2	1
ORTHOSTM000820	26	14	1	2	1	2	2	3	1	4	2	2
ORTHOSTM000821	26	14	1	2	1	4	2	1	1	2	1	3
ORTHOSTM000822	26	14	1	2	1	5	2	3	2	2	2	1
ORTHOSTM000823	26	14	1	3	1	3	1	2	1	2	1	1
ORTHOSTM000826	26	14	1	1	2	1	2	1	2	1	2	2
ORTHOSTM000829	26	14	1	1	1	3	3	4	2	2	2	3
ORTHOSTM000831	26	14	1	1	2	1	1	5	1	3	5	2
ORTHOSTM000832	26	14	1	1	2	5	2	4	1	1	1	1
ORTHOSTM000854	25	14	2	3	1	1	2	4	2	2	1	1
ORTHOSTM000858	25	14	2	2	3	2	2	2	2	2	2	1
ORTHOSTM000859	25	14	2	5	1	2	2	2	1	1	1	2
ORTHOSTM000860	25	14	3	3	1	2	1	2	1	1	1	1
ORTHOSTM000862	25	14	2	3	1	3	1	5	1	2	2	1
ORTHOSTM000864	25	14	2	3	1	2	2	4	1	1	3	1
ORTHOSTM000869	25	14	2	2	1	2	1	4	3	1	2	2
ORTHOSTM000873	25	14	2	2	1	3	2	4	2	2	1	2
ORTHOSTM000879	25	14	2	1	2	4	2	2	2	1	1	2
ORTHOSTM000881	25	14	2	2	2	2	1	2	1	3	1	1
ORTHOSTM000882	25	14	1	2	2	2	2	4	1	1	1	1
ORTHOSTM000885	25	14	1	2	2	2	2	4	2	2	2	1
ORTHOSTM000887	25	14	1	2	1	2	3	5	1	2	1	2
ORTHOSTM000888	25	14	2	2	1	2	1	2	2	2	2	1
ORTHOSTM000891	25	14	2	3	1	1	1	2	1	2	2	2
ORTHOSTM000892	25	14	1	2	1	2	1	4	1	2	1	2
ORTHOSTM000893	25	14	2	3	1	2	1	3	1	4	1	3
ORTHOSTM000894	25	14	1	2	1	3	2	5	1	1	1	2
ORTHOSTM000896	25	14	1	3	1	2	2	3	1	4	1	1
ORTHOSTM000898	25	14	1	2	1	2	4	4	1	2	2	1
ORTHOSTM000899	25	14	1	4	1	3	1	4	1	2	2	1
ORTHOSTM000900	25	14	1	3	1	2	1	4	1	5	2	1
ORTHOSTM000908	25	14	1	1	1	4	2	4	1	1	1	5
ORTHOSTM000912	25	14	1	1	1	2	1	3	1	1	2	2
ORTHOSTM000914	25	14	2	1	1	2	1	3	1	2	4	1
ORTHOSTM000929	24	14	5	1	1	2	2	2	1	2	1	3
ORTHOSTM000930	24	14	1	2	2	1	2	4	1	2	2	1
ORTHOSTM000934	24	14	2	3	1	1	1	3	1	2	1	2
ORTHOSTM000935	24	14	2	2	1	1	1	2	1	1	1	2
ORTHOSTM000938	24	14	1	2	1	2	2	4	1	2	1	3
ORTHOSTM000940	24	14	2	2	2	2	1	3	1	1	2	1
ORTHOSTM000944	24	14	2	3	1	1	3	5	1	2	1	1
ORTHOSTM000947	24	14	2	3	1	1	2	4	1	3	1	2
ORTHOSTM000948	24	14	2	2	1	1	3	2	1	1	1	3
ORTHOSTM000949	24	14	2	2	1	2	5	2	1	2	1	2
ORTHOSTM000950	24	14	2	4	1	2	1	4	1	2	1	1
ORTHOSTM000951	24	14	2	3	1	2	2	4	1	1	1	2
ORTHOSTM000953	24	14	2	2	1	2	1	2	1	5	1	3
ORTHOSTM000955	24	14	2	4	1	1	1	3	1	2	2	1
ORTHOSTM000959	24	14	2	3	1	2	1	4	2	1	1	2
ORTHOSTM000961	24	14	2	2	1	2	1	2	1	3	2	1
ORTHOSTM000963	24	14	1	1	1	1	2	4	1	4	1	1
ORTHOSTM000964	24	14	1	2	2	2	2	2	2	2	3	1
ORTHOSTM000965	24	14	1	1	1	1	4	3	1	2	1	2
ORTHOSTM000966	24	14	2	3	1	1	1	4	2	2	1	2
ORTHOSTM000967	24	14	1	2	1	1	1	5	1	3	1	3
ORTHOSTM000969	24	14	2	3	1	3	2	3	1	2	1	1
ORTHOSTM000970	24	14	1	2	1	1	2	4	1	2	1	1
ORTHOSTM000971	24	14	1	1	1	1	1	2	1	1	9	1
ORTHOSTM000972	24	14	1	3	1	2	1	2	1	4	1	1
ORTHOSTM000973	24	14	1	2	1	2	1	4	1	2	2	2
ORTHOSTM000975	24	14	1	3	1	2	2	4	1	2	1	2
ORTHOSTM000976	24	14	1	2	1	2	1	4	1	3	1	3
ORTHOSTM000977	24	14	1	3	1	3	2	3	1	2	1	1
ORTHOSTM000978	24	14	1	3	1	2	1	4	1	1	2	1
